region,federal_unit,station,code_wmo,latitude,longitude,altitude,foundation_date
CO,DF,AGUAS EMENDADAS,A045,-15.596491,-47.625801,1030.36,2008-10-03
CO,DF,BRASILIA,A001,-15.78944444,-47.92583332,1159.54,2000-05-07
CO,DF,BRAZLANDIA,A042,-15.59972221,-48.1311111,1143,2017-07-19
CO,DF,GAMA (PONTE ALTA),A046,-15.93527777,-48.13749999,990,2014-10-01
CO,DF,PARANOA (COOPA-DF),A047,-16.012222,-47.557417,1043,2017-02-07
CO,GO,ALTO PARAISO DE GOIAS,A024,-14.13305554,-47.52305554,1260,2007-06-04
CO,GO,ARAGARCAS,A013,-15.902658,-52.245172,327.35,2007-07-13
CO,GO,CAIAPONIA,A023,-16.96666666,-51.81749999,737,2007-05-21
CO,GO,CATALAO,A034,-18.15777777,-47.92638888,890,2008-01-31
CO,GO,CRISTALINA,A036,-16.784896,-47.612966,1211.08,2007-12-14
CO,GO,CRISTALINA (FAZENDA SANTA MONICA),A056,-16.39944444,-47.62583332,932,2018-01-25
CO,GO,EDEIA,A029,-17.33694444,-49.91472222,608,2017-08-26
CO,GO,GOIANESIA,A022,-15.22027777,-48.99027777,667,2007-06-02
CO,GO,GOIANIA,A002,-16.642841,-49.220222,727.3,2001-05-29
CO,GO,GOIAS,A014,-15.93916666,-50.14138888,512,2007-07-18
CO,GO,IPORA,A028,-16.42305554,-51.14805555,625,2013-06-24
CO,GO,ITAPACI,A015,-14.97972221,-49.53999999,551.16,2007-02-03
CO,GO,ITUMBIARA,A035,-18.409761,-49.192061,491.17,2007-11-01
CO,GO,JATAI,A016,-17.92388888,-51.71777777,582,2007-05-23
CO,GO,LUZIANIA,A012,-16.26055555,-47.96694443,1000.82,2006-10-21
CO,GO,MINEIROS,A026,-17.45472222,-52.60111111,862,2007-11-24
CO,GO,MONTE ALEGRE DE GOIAS,A032,-13.253521,-46.890326,551.33,2007-06-07
CO,GO,MORRINHOS,A003,-17.71666667,-49.1,771.42,2001-05-25
CO,GO,PARAUNA,A027,-16.962536,-50.42545,678.74,2008-03-29
CO,GO,PIRES DO RIO,A033,-17.30416666,-48.28416666,757.27,2007-10-12
CO,GO,PORANGATU,A005,-13.51444444,-49.19833333,365.5,2018-09-13
CO,GO,POSSE,A017,-14.08916666,-46.36638888,834,2007-04-18
CO,GO,RIO VERDE,A025,-17.78583333,-50.98138888,782,2007-05-17
CO,GO,SAO MIGUEL DO ARAGUAIA,A031,-12.82055554,-50.33583333,210,2017-06-29
CO,GO,SAO SIMAO,A011,-18.969142,-50.633449,492.45,2006-07-15
CO,GO,SILVANIA,A037,-16.67694443,-48.61805554,949,2010-10-08
CO,MS,AGUA CLARA,A756,-20.44444444,-52.87583332,323.63,2010-08-14
CO,MS,AMAMBAI,A750,-23.0025,-55.32944443,431,2008-06-11
CO,MS,ANGELICA,S701,-22.148083,-53.763736,347,2018-04-09
CO,MS,AQUIDAUANA,A719,-20.47555554,-55.78388888,151.35,2006-11-01
CO,MS,ARAL MOREIRA,S702,-22.955,-55.6261111,605,2018-04-13
CO,MS,BANDEIRANTES,S703,-19.945539,-54.368533,624,2018-01-29
CO,MS,BATAGUASSU,A759,-21.75138888,-52.47055554,387,2013-03-21
CO,MS,BELA VISTA,A757,-22.10083333,-56.53999999,208,2011-08-09
CO,MS,BONITO,S704,-21.246756,-56.450442,329,2018-08-06
CO,MS,BRASILANDIA,S705,-21.298278,-52.068917,345,2018-04-06
CO,MS,CAARAPO,S706,-22.657056,-54.819306,456,2018-03-03
CO,MS,CAMAPUA,S707,-19.587528,-54.030083,540,2018-02-19
CO,MS,CAMPO GRANDE,A702,-20.447195,-54.722615,528.47,2001-09-10
CO,MS,CASSILANDIA,A742,-19.12249999,-51.72083332,494.72,2008-03-08
CO,MS,CHAPADAO DO SUL,A730,-18.80222222,-52.6025,820.82,2006-12-20
CO,MS,CORUMBA,A724,-18.99666666,-57.63749999,126,2006-10-26
CO,MS,COSTA RICA,A760,-18.49277777,-53.17138888,727.34,2012-12-04
CO,MS,COXIM,A720,-18.51222222,-54.7361111,251.48,2006-11-06
CO,MS,DOURADOS,A721,-22.19388888,-54.91138888,463.3,2006-10-18
CO,MS,FATIMA DO SUL,S708,-22.30861111,-54.32583332,340,2018-02-28
CO,MS,IGUATEMI,S709,-23.64444444,-54.57027777,319,2018-02-19
CO,MS,ITAPORA,S710,-22.092833,-54.798833,360,2018-02-26
CO,MS,ITAQUIRAI,A752,-23.44944444,-54.18194443,337.82,2008-05-28
CO,MS,IVINHEMA,A709,-22.30666666,-53.82722221,373.8,2003-02-08
CO,MS,JARDIM,A758,-21.4786111,-56.13777777,252.47,2011-08-04
CO,MS,JUTI,A749,-22.85722222,-54.60555555,375.18,2008-06-16
CO,MS,LAGUNA CARAPA,S711,-22.57527777,-55.16027777,499,2018-04-12
CO,MS,MARACAJU,A731,-21.609036,-55.177531,388.94,2006-12-15
CO,MS,MIRANDA,A722,-20.38333333,-56.41666666,140,2006-11-02
CO,MS,NHUMIRIM,A717,-18.98888888,-56.62305554,91,2006-08-02
CO,MS,NOVA ALVORADA DO SUL,S712,-21.450972,-54.341972,5,2018-02-23
CO,MS,NOVA ANDRADINA,S713,-22.078528,-53.465889,372,2018-04-09
CO,MS,PARANAIBA,A710,-19.69527777,-51.18138888,424,2006-11-10
CO,MS,PEDRO GOMES,S714,-18.07277777,-54.54888888,251,2018-02-02
CO,MS,PONTA PORA,A703,-22.5525,-55.71638888,675,2001-09-07
CO,MS,PORTO MURTINHO,A723,-21.70583333,-57.88666666,78.56,2006-10-24
CO,MS,RIBAS DO RIO PARDO,S715,-20.466694,-53.763028,442,2018-01-18
CO,MS,RIO BRILHANTE,A743,-21.77499999,-54.52805554,324.31,2008-06-26
CO,MS,SANTA RITA DO PARDO,S716,-21.30583333,-52.82027777,383,2018-02-19
CO,MS,SAO GABRIEL DO OESTE,A732,-19.42032,-54.553088,646,2006-12-18
CO,MS,SELVIRIA,S717,-20.35138888,-51.43027777,374,2018-04-05
CO,MS,SETE QUEDAS,A751,-23.96694443,-55.02416666,398.4,2008-06-03
CO,MS,SIDROLANDIA,A754,-20.98166666,-54.97194443,464,2008-09-29
CO,MS,SONORA,A761,-17.89638888,-54.45361111,486,2012-11-30
CO,MS,TRES LAGOAS,A704,-20.78999999,-51.71222222,313,2001-09-03
CO,MT,AGUA BOA,A908,-14.01638888,-52.21166666,440,2006-12-16
CO,MT,ALTA FLORESTA,A924,-10.07722221,-56.17916666,291.85,2007-05-23
CO,MT,ALTO ARAGUAIA,A909,-17.33944444,-53.22416666,753,2011-09-22
CO,MT,ALTO TAQUARI,A934,-17.81555555,-53.28749999,875,2008-01-29
CO,MT,APIACAS,A910,-9.56388888,-57.3936111,220,2006-10-24
CO,MT,BRASNORTE (MUNDO NOVO),A927,-12.87194443,-58.38722221,431,2008-02-29
CO,MT,CACERES,A941,-16.07444443,-57.69277777,116,2012-03-30
CO,MT,CAMPO NOVO DOS PARECIS,A905,-13.78333333,-57.83333333,570,2002-12-13
CO,MT,CAMPO VERDE,A912,-15.52749999,-55.13555555,749,2006-11-21
CO,MT,CARLINDA,A926,-10.00527777,-55.79055555,306,2008-04-09
CO,MT,COMODORO,A913,-13.70861111,-59.76277777,591,2006-11-28
CO,MT,COTRIGUACU,A919,-9.90611111,-58.57194443,261,2007-05-28
CO,MT,CUIABA,A901,-15.559295,-56.062951,241.56,2002-12-08
CO,MT,GAUCHA DO NORTE,A930,-13.18472221,-53.2575,375.87,2008-06-04
CO,MT,GUARANTA DO NORTE,A906,-9.9525,-54.89777777,283.58,2002-12-20
CO,MT,GUIRATINGA,A932,-16.34166666,-53.76611111,526,2008-01-24
CO,MT,ITIQUIRA,A933,-17.29722221,-54.83722221,585,2008-08-14
CO,MT,JUARA,A914,-11.28027777,-57.52666666,260,2006-11-02
CO,MT,JUINA,A920,-11.37499999,-58.77472221,365.39,2006-11-24
CO,MT,NOVA MARINGA,A928,-13.06555555,-57.15611111,353,2008-04-16
CO,MT,NOVA UBIRATA,A929,-13.68638888,-54.95611111,518,2008-04-13
CO,MT,PARANATINGA,A915,-14.42138888,-54.0361111,476.91,2006-12-19
CO,MT,PONTES E LACERDA,A937,-15.234582,-59.346215,272.53,2008-01-30
CO,MT,PORTO ESTRELA,A935,-15.32472221,-57.22583332,147.75,2008-05-30
CO,MT,PRIMAVERA DO LESTE,A923,-15.57999999,-54.3811111,680,2017-10-26
CO,MT,QUERENCIA,A916,-12.60305555,-52.1625,355,2007-07-18
CO,MT,RONDONOPOLIS,A907,-16.4625,-54.58027777,289.88,2003-11-17
CO,MT,ROSARIO OESTE,A944,-14.82888888,-56.44194444,195,2019-05-30
CO,MT,S.J. DO RIO CLARO,A903,-13.45388888,-56.67722221,339.59,2003-02-25
CO,MT,SALTO DO CEU,A936,-15.13583333,-58.115,303,2008-01-24
CO,MT,SANTO ANTONIO DO LESTE,A931,-14.92777777,-53.8836111,648,2008-05-30
CO,MT,SAO FELIX  DO ARAGUAIA,A921,-11.61888888,-50.72777777,218,2007-10-19
CO,MT,SAO JOSE DO XINGU,A942,-10.48416666,-52.37249999,300,2019-02-19
